2025-06-10 23:21:12.770 [main] INFO  c.o.c.ChargingSystemApplication - Starting ChargingSystemApplication using Java 17.0.12 with PID 8456 (C:\Users\xiwei\Desktop\软件工程\ChargingSystem\target\classes started by xiwei in C:\Users\xiwei\Desktop\软件工程\ChargingSystem)
2025-06-10 23:21:12.771 [main] INFO  c.o.c.ChargingSystemApplication - No active profile set, falling back to 1 default profile: "default"
2025-06-10 23:21:13.543 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-06-10 23:21:13.543 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.41]
2025-06-10 23:21:13.587 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-06-10 23:21:14.293 [main] INFO  c.o.c.ChargingSystemApplication - Started ChargingSystemApplication in 1.951 seconds (process running for 2.427)
2025-06-10 23:21:14.314 [scheduling-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariCP - Starting...
2025-06-10 23:21:14.424 [scheduling-1] INFO  com.zaxxer.hikari.pool.HikariPool - HikariCP - Added connection com.mysql.cj.jdbc.ConnectionImpl@46039319
2025-06-10 23:21:14.426 [scheduling-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariCP - Start completed.
2025-06-10 23:21:19.919 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-06-10 23:21:23.820 [http-nio-8080-exec-3] INFO  c.o.c.c.ChargingPileController - 开始获取所有充电桩队列的完整充电状态信息
2025-06-10 23:21:23.822 [http-nio-8080-exec-3] INFO  c.o.c.c.ChargingPileController - 充电桩 A 的完整队列信息：
2025-06-10 23:21:23.822 [http-nio-8080-exec-3] INFO  c.o.c.c.ChargingPileController - 充电桩 A 共有 0 个请求在队列中
2025-06-10 23:21:23.822 [http-nio-8080-exec-3] INFO  c.o.c.c.ChargingPileController - 充电桩 B 的完整队列信息：
2025-06-10 23:21:23.822 [http-nio-8080-exec-3] INFO  c.o.c.c.ChargingPileController - 充电桩 B 共有 0 个请求在队列中
2025-06-10 23:21:23.822 [http-nio-8080-exec-3] INFO  c.o.c.c.ChargingPileController - 充电桩 C 的完整队列信息：
2025-06-10 23:21:23.822 [http-nio-8080-exec-3] INFO  c.o.c.c.ChargingPileController - 充电桩 C 共有 0 个请求在队列中
2025-06-10 23:21:23.822 [http-nio-8080-exec-3] INFO  c.o.c.c.ChargingPileController - 充电桩 D 的完整队列信息：
2025-06-10 23:21:23.822 [http-nio-8080-exec-3] INFO  c.o.c.c.ChargingPileController - 充电桩 D 共有 0 个请求在队列中
2025-06-10 23:21:23.822 [http-nio-8080-exec-3] INFO  c.o.c.c.ChargingPileController - 充电桩 E 的完整队列信息：
2025-06-10 23:21:23.822 [http-nio-8080-exec-3] INFO  c.o.c.c.ChargingPileController - 充电桩 E 共有 0 个请求在队列中
2025-06-10 23:21:23.822 [http-nio-8080-exec-3] INFO  c.o.c.c.ChargingPileController - 所有充电桩队列完整状态获取完成
